window,accuracy
24660:24670,0.7434782608695653
1660:1670,0.7260869565217392
1680:1690,0.717391304347826
1710:1720,0.717391304347826
24690:24700,0.7130434782608694
2940:2950,0.7043478260869566
2980:2990,0.7043478260869566
12810:12820,0.7043478260869565
21770:21780,0.7000000000000001
12800:12810,0.7
32900:32910,0.6956521739130435
12820:12830,0.6869565217391305
13530:13540,0.6869565217391305
1650:1660,0.6826086956521739
36720:36730,0.6739130434782608
21780:21790,0.6695652173913044
4640:4650,0.6652173913043479
12300:12310,0.6652173913043479
24670:24680,0.6652173913043479
23850:23860,0.6652173913043476
39210:39220,0.6652173913043476
12310:12320,0.6608695652173913
23290:23300,0.6608695652173913
40540:40550,0.6608695652173913
29330:29340,0.656521739130435
13580:13590,0.6565217391304349
1670:1680,0.6565217391304348
1700:1710,0.6565217391304348
8240:8250,0.6565217391304348
8250:8260,0.6565217391304348
14370:14380,0.6565217391304348
35500:35510,0.6565217391304348
12320:12330,0.6521739130434783
32710:32720,0.6521739130434783
14000:14010,0.6521739130434782
13560:13570,0.6478260869565218
20380:20390,0.6478260869565218
27890:27900,0.6478260869565218
32940:32950,0.6478260869565218
8040:8050,0.6478260869565217
14350:14360,0.6478260869565217
36660:36670,0.6478260869565217
2930:2940,0.6434782608695653
8260:8270,0.6434782608695653
8350:8360,0.6434782608695653
11740:11750,0.6434782608695653
12340:12350,0.6434782608695653
21830:21840,0.6434782608695653
25910:25920,0.6434782608695653
36710:36720,0.6434782608695653
37830:37840,0.6434782608695653
39000:39010,0.6434782608695653
11190:11200,0.6434782608695652
12280:12290,0.6434782608695652
21790:21800,0.6434782608695652
21820:21830,0.6434782608695652
24650:24660,0.6434782608695652
12290:12300,0.6391304347826087
17520:17530,0.6391304347826087
37920:37930,0.6391304347826087
40640:40650,0.6391304347826087
1690:1700,0.6391304347826086
11630:11640,0.6391304347826086
24620:24630,0.6391304347826086
25510:25520,0.6391304347826086
36680:36690,0.6391304347826086
40280:40290,0.6391304347826086
6410:6420,0.6347826086956523
1750:1760,0.6347826086956522
13080:13090,0.6347826086956522
24680:24690,0.6347826086956522
37090:37100,0.6347826086956522
7190:7200,0.6347826086956521
14080:14090,0.6304347826086957
20370:20380,0.6304347826086957
23300:23310,0.6304347826086957
30170:30180,0.6304347826086957
16420:16430,0.6304347826086956
16430:16440,0.6304347826086956
23930:23940,0.6304347826086956
27880:27890,0.6304347826086956
21510:21520,0.6260869565217392
33560:33570,0.6260869565217392
12330:12340,0.6260869565217391
21530:21540,0.6260869565217391
28630:28640,0.6260869565217391
36840:36850,0.6260869565217391
37670:37680,0.6260869565217391
17510:17520,0.6217391304347827
32730:32740,0.6217391304347827
36730:36740,0.6217391304347827
8790:8800,0.6217391304347826
13310:13320,0.6217391304347826
13590:13600,0.6217391304347826
14360:14370,0.6217391304347826
15320:15330,0.6217391304347826
17490:17500,0.6217391304347826
25920:25930,0.6217391304347826
29460:29470,0.6217391304347826
34370:34380,0.6217391304347826
39060:39070,0.6217391304347826
10060:10070,0.6173913043478262
30950:30960,0.6173913043478262
32100:32110,0.6173913043478262
40650:40660,0.6173913043478262
7890:7900,0.6173913043478261
10010:10020,0.6173913043478261
37430:37440,0.6173913043478261
12150:12160,0.617391304347826
21540:21550,0.617391304347826
31020:31030,0.617391304347826
31170:31180,0.617391304347826
35940:35950,0.617391304347826
2550:2560,0.6130434782608696
2970:2980,0.6130434782608696
4020:4030,0.6130434782608696
4660:4670,0.6130434782608696
8090:8100,0.6130434782608696
8620:8630,0.6130434782608696
13540:13550,0.6130434782608696
16290:16300,0.6130434782608696
17130:17140,0.6130434782608696
22000:22010,0.6130434782608696
27340:27350,0.6130434782608696
32090:32100,0.6130434782608696
36740:36750,0.6130434782608696
38990:39000,0.6130434782608696
39220:39230,0.6130434782608696
39670:39680,0.6130434782608696
40110:40120,0.6130434782608696
8170:8180,0.6130434782608695
38050:38060,0.6130434782608695
1000:1010,0.6086956521739131
1760:1770,0.6086956521739131
7900:7910,0.6086956521739131
8050:8060,0.6086956521739131
21740:21750,0.6086956521739131
24630:24640,0.6086956521739131
25700:25710,0.6086956521739131
28120:28130,0.6086956521739131
31030:31040,0.6086956521739131
32570:32580,0.6086956521739131
32720:32730,0.6086956521739131
38600:38610,0.6086956521739131
4890:4900,0.608695652173913
8780:8790,0.608695652173913
12350:12360,0.608695652173913
16440:16450,0.608695652173913
17480:17490,0.608695652173913
19630:19640,0.608695652173913
19640:19650,0.608695652173913
20930:20940,0.608695652173913
20940:20950,0.608695652173913
33550:33560,0.608695652173913
37840:37850,0.608695652173913
8750:8760,0.6086956521739129
12420:12430,0.6086956521739129
