window,accuracy
39200:39300,0.6869565217391304
37000:37100,0.6652173913043479
32100:32200,0.6652173913043478
12800:12900,0.6652173913043476
2900:3000,0.6565217391304347
1600:1700,0.6521739130434782
32500:32600,0.6434782608695652
32800:32900,0.6391304347826088
36700:36800,0.6391304347826088
14000:14100,0.6260869565217393
1700:1800,0.6260869565217391
26900:27000,0.6260869565217391
7000:7100,0.6217391304347826
16200:16300,0.6173913043478261
8500:8600,0.6086956521739131
5200:5300,0.6043478260869566
14100:14200,0.6043478260869566
37800:37900,0.6043478260869566
19100:19200,0.6043478260869565
37100:37200,0.6
17900:18000,0.5999999999999999
24600:24700,0.5999999999999999
39100:39200,0.5956521739130435
7100:7200,0.5956521739130434
28800:28900,0.591304347826087
23300:23400,0.5913043478260869
36800:36900,0.5913043478260869
16400:16500,0.5869565217391305
39000:39100,0.5869565217391305
2800:2900,0.5869565217391304
6600:6700,0.5869565217391303
2500:2600,0.5826086956521739
3400:3500,0.5826086956521739
5300:5400,0.5826086956521739
13200:13300,0.5826086956521739
40200:40300,0.5826086956521739
8900:9000,0.5782608695652174
9200:9300,0.5782608695652174
20300:20400,0.5782608695652174
32600:32700,0.5782608695652174
8000:8100,0.5782608695652173
32900:33000,0.5782608695652173
4900:5000,0.5739130434782609
8200:8300,0.5739130434782609
12300:12400,0.5739130434782609
29400:29500,0.5739130434782609
30500:30600,0.5739130434782609
36600:36700,0.5739130434782609
33500:33600,0.5695652173913044
6400:6500,0.5695652173913043
9100:9200,0.5695652173913043
14300:14400,0.5695652173913043
31000:31100,0.5695652173913043
1000:1100,0.5652173913043479
15300:15400,0.5652173913043479
29700:29800,0.5652173913043479
12100:12200,0.5652173913043478
31700:31800,0.5652173913043478
29300:29400,0.5608695652173914
1100:1200,0.5608695652173913
22800:22900,0.5608695652173913
37200:37300,0.5608695652173913
40900:41000,0.5565217391304349
21500:21600,0.5565217391304348
22600:22700,0.5565217391304348
27100:27200,0.5565217391304348
6900:7000,0.5565217391304347
8700:8800,0.5565217391304347
28200:28300,0.5565217391304347
17100:17200,0.5521739130434783
29600:29700,0.5521739130434783
40800:40900,0.5521739130434783
0:100,0.5521739130434782
14500:14600,0.5521739130434782
20500:20600,0.5521739130434782
20800:20900,0.5521739130434782
28700:28800,0.5521739130434782
34000:34100,0.5521739130434782
35100:35200,0.5521739130434782
41200:41300,0.5521739130434782
19400:19500,0.5478260869565219
10900:11000,0.5478260869565218
13500:13600,0.5478260869565218
27300:27400,0.5478260869565218
30800:30900,0.5478260869565218
37600:37700,0.5478260869565218
400:500,0.5478260869565217
31600:31700,0.5478260869565216
3900:4000,0.5434782608695652
11600:11700,0.5434782608695652
26200:26300,0.5434782608695652
32000:32100,0.5434782608695652
38600:38700,0.5391304347826089
2400:2500,0.5391304347826088
3000:3100,0.5391304347826087
4200:4300,0.5391304347826087
19600:19700,0.5391304347826087
20900:21000,0.5391304347826087
21800:21900,0.5391304347826087
26600:26700,0.5391304347826087
35000:35100,0.5391304347826087
9300:9400,0.5391304347826086
30900:31000,0.5391304347826086
6300:6400,0.5347826086956522
7900:8000,0.5347826086956522
8600:8700,0.5347826086956522
17300:17400,0.5347826086956522
20200:20300,0.5347826086956522
22100:22200,0.5347826086956522
25900:26000,0.5347826086956522
29100:29200,0.5347826086956522
39300:39400,0.5347826086956522
11900:12000,0.5304347826086957
34600:34700,0.5304347826086957
36900:37000,0.5304347826086957
2700:2800,0.5304347826086956
16900:17000,0.5304347826086956
17200:17300,0.5304347826086956
23200:23300,0.5304347826086956
33700:33800,0.5260869565217392
36200:36300,0.5260869565217392
3600:3700,0.5260869565217391
8300:8400,0.5260869565217391
15200:15300,0.5260869565217391
23800:23900,0.5260869565217391
31200:31300,0.5260869565217391
32700:32800,0.5260869565217391
37400:37500,0.5260869565217391
39600:39700,0.5260869565217391
41100:41200,0.5260869565217391
11100:11200,0.5217391304347827
13100:13200,0.5217391304347826
13600:13700,0.5217391304347826
16700:16800,0.5217391304347826
32400:32500,0.5217391304347826
3100:3200,0.5217391304347825
36300:36400,0.5217391304347825
2600:2700,0.5173913043478261
8800:8900,0.5173913043478261
9700:9800,0.5173913043478261
13300:13400,0.5173913043478261
18100:18200,0.5173913043478261
23000:23100,0.5173913043478261
26800:26900,0.5173913043478261
30300:30400,0.5173913043478261
33000:33100,0.5173913043478261
30700:30800,0.5130434782608696
35700:35800,0.5130434782608696
38100:38200,0.5130434782608696
10000:10100,0.5130434782608695
12200:12300,0.5130434782608695
12900:13000,0.5130434782608695
14600:14700,0.5130434782608695
18900:19000,0.5130434782608695
31400:31500,0.5130434782608695
32200:32300,0.5130434782608695
32300:32400,0.5130434782608695
34300:34400,0.5130434782608695
5600:5700,0.5086956521739131
5900:6000,0.5086956521739131
11700:11800,0.5086956521739131
24000:24100,0.5086956521739131
25100:25200,0.5086956521739131
10300:10400,0.508695652173913
25000:25100,0.508695652173913
28900:29000,0.508695652173913
35200:35300,0.508695652173913
1500:1600,0.5043478260869565
2200:2300,0.5043478260869565
6500:6600,0.5043478260869565
9800:9900,0.5043478260869565
11200:11300,0.5043478260869565
17700:17800,0.5043478260869565
18400:18500,0.5043478260869565
18500:18600,0.5043478260869565
38700:38800,0.5043478260869565
40000:40100,0.5043478260869565
40600:40700,0.5043478260869565
14700:14800,0.5000000000000001
27000:27100,0.5000000000000001
35600:35700,0.5000000000000001
4000:4100,0.5
4800:4900,0.5
10500:10600,0.5
13000:13100,0.5
15000:15100,0.5
15500:15600,0.5
25800:25900,0.5
28100:28200,0.5
29200:29300,0.5
34400:34500,0.5
30100:30200,0.4999999999999999
9600:9700,0.49565217391304356
25500:25600,0.49565217391304356
6000:6100,0.49565217391304345
7200:7300,0.49565217391304345
12500:12600,0.49565217391304345
17800:17900,0.49565217391304345
18800:18900,0.49565217391304345
20100:20200,0.49565217391304345
20400:20500,0.49565217391304345
21400:21500,0.49565217391304345
22300:22400,0.49565217391304345
23900:24000,0.49565217391304345
25700:25800,0.49565217391304345
30200:30300,0.49565217391304345
31300:31400,0.49565217391304345
38300:38400,0.49565217391304345
1800:1900,0.491304347826087
1900:2000,0.491304347826087
2100:2200,0.491304347826087
4300:4400,0.491304347826087
6800:6900,0.491304347826087
11400:11500,0.491304347826087
26400:26500,0.491304347826087
27800:27900,0.491304347826087
33400:33500,0.491304347826087
3200:3300,0.4913043478260869
5700:5800,0.4913043478260869
7600:7700,0.4913043478260869
16100:16200,0.4913043478260869
18000:18100,0.4913043478260869
33600:33700,0.4913043478260869
7500:7600,0.49130434782608684
4600:4700,0.48695652173913045
26000:26100,0.48695652173913045
39900:40000,0.48695652173913045
10400:10500,0.4869565217391304
12600:12700,0.4869565217391304
17500:17600,0.4869565217391304
27700:27800,0.4869565217391304
34800:34900,0.4869565217391304
7800:7900,0.482608695652174
23600:23700,0.482608695652174
12400:12500,0.4826086956521739
19200:19300,0.4826086956521739
20600:20700,0.4826086956521739
21700:21800,0.4826086956521739
24500:24600,0.4826086956521739
24700:24800,0.4826086956521739
26100:26200,0.4826086956521739
33100:33200,0.4826086956521739
35300:35400,0.4826086956521739
24800:24900,0.48260869565217385
24300:24400,0.47826086956521746
6100:6200,0.4782608695652174
15700:15800,0.4782608695652174
17400:17500,0.4782608695652174
21300:21400,0.4782608695652174
24200:24300,0.4782608695652174
28600:28700,0.4782608695652174
31500:31600,0.4782608695652174
39800:39900,0.4782608695652174
5500:5600,0.4782608695652173
19300:19400,0.4782608695652173
24100:24200,0.4739130434782609
28300:28400,0.4739130434782609
30600:30700,0.4739130434782609
11800:11900,0.47391304347826085
16800:16900,0.47391304347826085
29000:29100,0.47391304347826085
38000:38100,0.47391304347826085
39700:39800,0.47391304347826085
40400:40500,0.47391304347826085
40500:40600,0.47391304347826085
5800:5900,0.47391304347826074
700:800,0.4695652173913044
4100:4200,0.4695652173913044
13400:13500,0.4695652173913044
15100:15200,0.4695652173913044
24900:25000,0.4695652173913044
37500:37600,0.4695652173913044
38800:38900,0.4695652173913044
5100:5200,0.4695652173913043
15800:15900,0.4695652173913043
27900:28000,0.4695652173913043
35800:35900,0.4695652173913043
19700:19800,0.4652173913043479
29900:30000,0.4652173913043479
2300:2400,0.46521739130434786
21600:21700,0.46521739130434786
28000:28100,0.46521739130434786
29500:29600,0.46521739130434786
34200:34300,0.46521739130434786
34900:35000,0.46521739130434786
18700:18800,0.46521739130434775
10100:10200,0.4608695652173914
22200:22300,0.4608695652173914
35900:36000,0.4608695652173914
3300:3400,0.4608695652173913
9900:10000,0.4608695652173913
17000:17100,0.4608695652173913
20700:20800,0.4608695652173913
22000:22100,0.4608695652173913
22400:22500,0.4608695652173913
22700:22800,0.4608695652173913
26500:26600,0.4608695652173913
31900:32000,0.4608695652173913
34700:34800,0.4608695652173913
11500:11600,0.4608695652173912
20000:20100,0.4608695652173912
5000:5100,0.45652173913043487
8400:8500,0.45652173913043487
2000:2100,0.45652173913043476
19500:19600,0.45652173913043476
27600:27700,0.45652173913043476
36100:36200,0.45652173913043476
39500:39600,0.45652173913043476
40700:40800,0.45652173913043476
8100:8200,0.4521739130434783
16300:16400,0.4521739130434783
22500:22600,0.4521739130434783
3700:3800,0.4521739130434782
9400:9500,0.4521739130434782
13800:13900,0.4521739130434782
29800:29900,0.4521739130434782
39400:39500,0.4521739130434782
26700:26800,0.4478260869565219
6200:6300,0.44782608695652176
10700:10800,0.44782608695652176
31800:31900,0.44782608695652176
4500:4600,0.4478260869565217
14200:14300,0.4478260869565217
14900:15000,0.4478260869565217
17600:17700,0.4478260869565217
25600:25700,0.4478260869565217
31100:31200,0.4478260869565217
1400:1500,0.4434782608695652
7700:7800,0.4434782608695652
16000:16100,0.4434782608695652
25400:25500,0.4434782608695652
38900:39000,0.4434782608695652
13900:14000,0.44347826086956516
300:400,0.43913043478260877
200:300,0.4391304347826087
5400:5500,0.4391304347826087
7300:7400,0.4391304347826087
9000:9100,0.4391304347826087
10200:10300,0.4391304347826087
11300:11400,0.4391304347826087
16600:16700,0.4391304347826087
28400:28500,0.4391304347826087
36400:36500,0.4391304347826087
37900:38000,0.4391304347826087
38200:38300,0.4391304347826087
40100:40200,0.4391304347826087
21000:21100,0.4391304347826086
36500:36600,0.4391304347826086
6700:6800,0.4347826086956522
27200:27300,0.4347826086956522
33300:33400,0.4347826086956522
10600:10700,0.43478260869565216
18600:18700,0.43478260869565216
23500:23600,0.43478260869565216
26300:26400,0.43478260869565216
34100:34200,0.43478260869565216
37700:37800,0.43478260869565216
7400:7500,0.4304347826086957
21900:22000,0.4304347826086957
33200:33300,0.4304347826086957
35500:35600,0.4304347826086957
1200:1300,0.4304347826086956
21200:21300,0.4304347826086956
900:1000,0.42608695652173917
1300:1400,0.42608695652173917
12700:12800,0.42608695652173917
15600:15700,0.42608695652173917
23700:23800,0.42608695652173917
27500:27600,0.42608695652173917
30400:30500,0.42608695652173917
25200:25300,0.42608695652173906
23100:23200,0.4217391304347826
23400:23500,0.4217391304347826
24400:24500,0.4217391304347826
27400:27500,0.4217391304347826
28500:28600,0.4217391304347826
33900:34000,0.4217391304347826
35400:35500,0.4217391304347826
33800:33900,0.4217391304347825
11000:11100,0.4173913043478262
15900:16000,0.4173913043478262
3500:3600,0.41739130434782606
12000:12100,0.41739130434782606
18200:18300,0.41739130434782606
19900:20000,0.41739130434782606
14400:14500,0.417391304347826
100:200,0.4130434782608696
3800:3900,0.4130434782608696
36000:36100,0.4130434782608696
41000:41100,0.4130434782608696
