window,accuracy
37825:37850,0.7043478260869566
1700:1725,0.6956521739130433
14350:14375,0.6913043478260869
21775:21800,0.682608695652174
33550:33575,0.6782608695652174
5525:5550,0.673913043478261
5325:5350,0.6739130434782609
12800:12825,0.6739130434782609
1675:1700,0.6652173913043476
2975:3000,0.6608695652173913
34350:34375,0.6608695652173913
13550:13575,0.6565217391304347
1650:1675,0.6521739130434783
30950:30975,0.6521739130434783
12300:12325,0.6521739130434782
6575:6600,0.6478260869565218
32100:32125,0.6478260869565218
32125:32150,0.6478260869565218
22000:22025,0.6478260869565217
25925:25950,0.6478260869565217
24625:24650,0.6478260869565216
32875:32900,0.6434782608695653
36675:36700,0.6434782608695653
36750:36775,0.6434782608695653
39225:39250,0.6434782608695653
37175:37200,0.6391304347826086
31150:31175,0.6347826086956522
32525:32550,0.6347826086956522
29425:29450,0.6347826086956521
8250:8275,0.6304347826086957
1750:1775,0.6304347826086956
19625:19650,0.6304347826086956
31025:31050,0.6304347826086956
7900:7925,0.6260869565217393
34325:34350,0.6260869565217393
8350:8375,0.6260869565217392
16425:16450,0.6260869565217392
29800:29825,0.6260869565217392
32500:32525,0.6260869565217392
6400:6425,0.6260869565217391
12275:12300,0.6260869565217391
12525:12550,0.6217391304347826
17650:17675,0.6217391304347826
23375:23400,0.6217391304347826
31100:31125,0.6217391304347826
1000:1025,0.6173913043478262
37075:37100,0.6173913043478262
8050:8075,0.6173913043478261
14075:14100,0.6173913043478261
30800:30825,0.6173913043478261
39000:39025,0.6173913043478261
40525:40550,0.6173913043478261
12325:12350,0.617391304347826
21500:21525,0.617391304347826
4875:4900,0.6130434782608696
8000:8025,0.6130434782608696
14000:14025,0.6130434782608696
36725:36750,0.6130434782608696
40000:40025,0.6130434782608696
5250:5275,0.6086956521739131
8025:8050,0.6086956521739131
12175:12200,0.6086956521739131
21825:21850,0.6086956521739131
13225:13250,0.608695652173913
14050:14075,0.608695652173913
15950:15975,0.608695652173913
28825:28850,0.608695652173913
32075:32100,0.608695652173913
32725:32750,0.608695652173913
36800:36825,0.608695652173913
31875:31900,0.6043478260869566
5300:5325,0.6043478260869565
12825:12850,0.6043478260869565
40250:40275,0.6043478260869565
24225:24250,0.6043478260869564
1725:1750,0.6000000000000001
17475:17500,0.6000000000000001
20925:20950,0.6
23850:23875,0.6
9125:9150,0.5999999999999999
12150:12175,0.5999999999999999
40850:40875,0.5999999999999999
4000:4025,0.5956521739130436
13525:13550,0.5956521739130436
35025:35050,0.5956521739130436
39575:39600,0.5956521739130436
475:500,0.5956521739130435
2475:2500,0.5956521739130435
16300:16325,0.5956521739130435
18150:18175,0.5956521739130435
25500:25525,0.5956521739130435
27125:27150,0.5956521739130435
29325:29350,0.5956521739130435
2925:2950,0.5956521739130434
9200:9225,0.5956521739130434
37425:37450,0.5913043478260871
5925:5950,0.591304347826087
7400:7425,0.5913043478260869
18800:18825,0.5913043478260869
39675:39700,0.5913043478260869
41200:41225,0.5913043478260869
4025:4050,0.5869565217391305
17050:17075,0.5869565217391305
21525:21550,0.5869565217391305
27875:27900,0.5869565217391305
28900:28925,0.5869565217391305
29275:29300,0.5869565217391305
36700:36725,0.5869565217391305
2850:2875,0.5869565217391304
6600:6625,0.5869565217391304
10900:10925,0.5869565217391304
10950:10975,0.5869565217391304
14375:14400,0.5869565217391304
17350:17375,0.5869565217391304
30650:30675,0.5869565217391304
40875:40900,0.5869565217391304
20400:20425,0.5869565217391303
2150:2175,0.5826086956521739
3225:3250,0.5826086956521739
8075:8100,0.5826086956521739
11600:11625,0.5826086956521739
18000:18025,0.5826086956521739
19250:19275,0.5826086956521739
21475:21500,0.5826086956521739
21750:21775,0.5826086956521739
22450:22475,0.5826086956521739
28625:28650,0.5826086956521739
34975:35000,0.5826086956521739
38525:38550,0.5826086956521739
40100:40125,0.5826086956521739
11625:11650,0.5782608695652175
15325:15350,0.5782608695652175
2950:2975,0.5782608695652174
3650:3675,0.5782608695652174
9150:9175,0.5782608695652174
22375:22400,0.5782608695652174
23100:23125,0.5782608695652174
34425:34450,0.5782608695652174
36275:36300,0.5782608695652174
38975:39000,0.5782608695652174
13125:13150,0.5782608695652173
950:975,0.5739130434782609
3175:3200,0.5739130434782609
6425:6450,0.5739130434782609
7125:7150,0.5739130434782609
10350:10375,0.5739130434782609
14575:14600,0.5739130434782609
16275:16300,0.5739130434782609
17125:17150,0.5739130434782609
17275:17300,0.5739130434782609
17625:17650,0.5739130434782609
24650:24675,0.5739130434782609
27325:27350,0.5739130434782609
32700:32725,0.5739130434782609
32900:32925,0.5739130434782609
37675:37700,0.5739130434782609
38000:38025,0.5739130434782609
39200:39225,0.5739130434782609
39975:40000,0.5739130434782609
40900:40925,0.5739130434782609
15300:15325,0.5739130434782608
1550:1575,0.5695652173913044
7100:7125,0.5695652173913044
7350:7375,0.5695652173913044
8225:8250,0.5695652173913044
8425:8450,0.5695652173913044
11725:11750,0.5695652173913044
12250:12275,0.5695652173913044
28225:28250,0.5695652173913044
30500:30525,0.5695652173913044
31000:31025,0.5695652173913044
34375:34400,0.5695652173913044
35925:35950,0.5695652173913044
40350:40375,0.5695652173913044
2875:2900,0.5695652173913043
13925:13950,0.5695652173913043
17500:17525,0.5695652173913043
19925:19950,0.5695652173913043
23300:23325,0.5695652173913043
34275:34300,0.5695652173913043
36325:36350,0.5695652173913043
41275:41300,0.5695652173913043
3250:3275,0.5652173913043479
3475:3500,0.5652173913043479
3975:4000,0.5652173913043479
4625:4650,0.5652173913043479
5350:5375,0.5652173913043479
8600:8625,0.5652173913043479
8825:8850,0.5652173913043479
13425:13450,0.5652173913043479
15250:15275,0.5652173913043479
28200:28225,0.5652173913043479
29775:29800,0.5652173913043479
34775:34800,0.5652173913043479
36300:36325,0.5652173913043479
38050:38075,0.5652173913043479
9975:10000,0.5652173913043478
14175:14200,0.5652173913043478
14525:14550,0.5652173913043478
17975:18000,0.5652173913043478
18900:18925,0.5652173913043478
19225:19250,0.5652173913043478
20350:20375,0.5652173913043478
36625:36650,0.5652173913043478
39100:39125,0.5652173913043478
39350:39375,0.5652173913043478
1950:1975,0.5608695652173914
6800:6825,0.5608695652173914
20075:20100,0.5608695652173914
20375:20400,0.5608695652173914
