window,accuracy
32700:32800,0.5
37600:37700,0.5
9800:9900,0.4999999999999999
35400:35500,0.4999999999999999
36200:36300,0.4999999999999999
5900:6000,0.49565217391304356
8400:8500,0.49565217391304345
39700:39800,0.49565217391304345
5600:5700,0.4956521739130434
3300:3400,0.491304347826087
7900:8000,0.491304347826087
21200:21300,0.491304347826087
21300:21400,0.491304347826087
27400:27500,0.491304347826087
28500:28600,0.491304347826087
30000:30100,0.491304347826087
2100:2200,0.4913043478260869
5400:5500,0.4913043478260869
11400:11500,0.4913043478260869
12600:12700,0.4913043478260869
15800:15900,0.4913043478260869
16400:16500,0.4913043478260869
19000:19100,0.4913043478260869
3700:3800,0.48695652173913045
6600:6700,0.48695652173913045
12100:12200,0.48695652173913045
14300:14400,0.48695652173913045
26500:26600,0.48695652173913045
28900:29000,0.48695652173913045
29300:29400,0.48695652173913045
32400:32500,0.48695652173913045
35200:35300,0.48695652173913045
36500:36600,0.48695652173913045
7500:7600,0.4869565217391304
10500:10600,0.4869565217391304
11300:11400,0.4869565217391304
26800:26900,0.4869565217391304
37300:37400,0.4869565217391304
5700:5800,0.482608695652174
12200:12300,0.482608695652174
18500:18600,0.4826086956521739
22600:22700,0.4826086956521739
26200:26300,0.4826086956521739
30100:30200,0.4826086956521739
36400:36500,0.4826086956521739
39800:39900,0.4826086956521739
7400:7500,0.48260869565217385
40600:40700,0.48260869565217385
16700:16800,0.47826086956521746
17300:17400,0.47826086956521746
29000:29100,0.47826086956521746
40400:40500,0.47826086956521746
400:500,0.4782608695652174
2600:2700,0.4782608695652174
13000:13100,0.4782608695652174
15500:15600,0.4782608695652174
22900:23000,0.4782608695652174
23700:23800,0.4782608695652174
26400:26500,0.4782608695652174
32300:32400,0.4782608695652174
40900:41000,0.4782608695652174
13800:13900,0.4782608695652173
1200:1300,0.4739130434782609
18200:18300,0.4739130434782609
19900:20000,0.4739130434782609
20800:20900,0.4739130434782609
22500:22600,0.4739130434782609
24700:24800,0.4739130434782609
27200:27300,0.4739130434782609
1500:1600,0.47391304347826085
3100:3200,0.47391304347826085
17600:17700,0.47391304347826085
23600:23700,0.47391304347826085
26600:26700,0.47391304347826085
27100:27200,0.47391304347826085
30400:30500,0.47391304347826085
31500:31600,0.47391304347826085
38600:38700,0.47391304347826085
40500:40600,0.47391304347826085
34700:34800,0.47391304347826074
8800:8900,0.46956521739130447
2400:2500,0.4695652173913044
9000:9100,0.4695652173913044
9200:9300,0.4695652173913044
16000:16100,0.4695652173913044
24300:24400,0.4695652173913044
27700:27800,0.4695652173913044
30600:30700,0.4695652173913044
30700:30800,0.4695652173913044
30800:30900,0.4695652173913044
31800:31900,0.4695652173913044
38100:38200,0.4695652173913044
2700:2800,0.4695652173913043
31100:31200,0.4695652173913043
700:800,0.46521739130434786
10600:10700,0.46521739130434786
18900:19000,0.46521739130434786
29900:30000,0.46521739130434786
37700:37800,0.46521739130434786
41100:41200,0.46521739130434786
